model,map_model_name
VNETTE GC-SK82VN,VANETTE
SYLPHY,SYLPHY
EBD-DR17V CLIPPER,CLIPPER
HBD-DR17V CILIPPER,CLIPPER
DAA HNT32 X-TRAIL,X-TRAIL
KR-SKF2TN,VANETTE
BDAU13 BLUEBRID,BLUEBIRD
KG-VWMGE24,CARAVAN
E-B13-CLOSED,SUNNY
KG-GWGE25 CARAVAN,CARAVAN
UU12-BLUEBIRD,BLUEBIRD
DBA-QG10,BLUEBIRD
KG-VWE24,CARAVAN
MARCH K12,MARCH
LDF-VW2E26 NV350,CARAVAN
GBD-U71T CLIPPER,CLIPPER
DBA-NT31,X-TRAIL
ADF-VW25,CARAVAN
CARAVAN KG-CWGE24,CARAVAN
PULSER FNN14,PULSAR
NAVARA D/C OUTLAW,NAVARA
PETROL SAFARI,PATROL
WINGROAD UA-WFY11,WINGROAD
GBD-U72V CLIPPER,CLIPPER
GF-FNB15,SUNNY
VWGE24,CARAVAN
VUGJC22,VANETTE
Q-SB13,SUNNY
X-TRAIL 2.5A,X-TRAIL
AD WAGON DIESEL - MANNUAL,AD WAGON
ZAA- AZEO- LEAF,LEAF
AD WAGON PETROL - AUTO,AD WAGON
AD WAGON PETROL - MANNUAL,AD WAGON
FB14 PETROL-MANNUAL,PATROL
AD WAGON DIESEL - AUTO,AD WAGON
FB15 EX SALOON-MANNUAL,FB 15
FB15 SUPER SALOON-MANNUAL,FB 15
LDF-CWGE25 CARAVAN,CARAVAN
MARCH BOLERO,MARCH
TC.SK82TN/V ANETTE,VANETTE
FB15 EX SALOON-AUTO,FB 15
SUNNY VY10,SUNNY
E.FB14 SUNNY,SUNNY
X-TRAIL JEEP TA-NT30,X-TRAIL
PULSAR FN15,PULSAR
VWE25-132914,CARAVAN
CQGE25 CARAVAN,CARAVAN
E-B12,SUNNY
LEAF ZEO,LEAF
GF-WEY11,WINGROAD
GC.SK82VN.VANETTE,VANETTE
FB15 SUPER SALOON-AUTO,FB 15
B15 EX SALOON-AUTO,SUNNY
B15 SUPER SALOON-AUTO,SUNNY
SLPHY UA-QG 10,SYLPHY
X TRAIL NT31,X-TRAIL
HBD-DR17V-2WD,CLIPPER
SUNNY UA-FB 15,FB 15
CARAVAN CRGE24 HIGHROOF,CARAVAN
E-FB13,SUNNY
KQ SKF2VN VANETTE,VANETTE
GF-K11,MARCH
VANETTE MAINTANWORK,VANETTE
FB 15,FB 15
VANETTE NV200 DBF-VM20,VANETTE
NAVARA OUTLAW,NAVARA
TA-B15,SUNNY
ABF-SKP2TN,VANETTE
NAVARA 4WD,NAVARA
NAVARA DCISE,NAVARA
WFY10-SUNNY,SUNNY
ADF-SKF2VNA2W,VANETTE
GE-CPGE24,CARAVAN
SUNNY UA-FB15,SUNNY
BLUEBIRD SYLPHY QG10,BLUEBIRD
GE-VPE25,CARAVAN
NAVARA OUTLA WD/CDCI,NAVARA
VANETTE UGJC22,VANETTE
CARAVAN GE-VPGE24,CARAVAN
DAA-HFC26-SERENA,SERENA
VANETTE STEEL,VANETTE
SUNNY METAL,SUNNY
BDA-B21W DAYS,DAYZ
ABF SKP2TN-VANETTE,VANETTE
E-K10-MARCH,MARCH
LDF-VWE25 CARVAN,CARAVAN
CBA-NT30,X-TRAIL
GF-PR11,PRESEA
SUNNY GF-B15,SUNNY
SUNNY GF-FB15,SUNNY
UN 13,BLUEBIRD
AD WEGON,AD WAGON
4WD (DOUBLE CAB),DOUBLE CAB
ABA-DR17W RIO,CLIPPER
DBA-B21A DAYZ,DAYZ
GE-SK82MN,VANETTE
VANETTE KR-SKF2V,VANETTE
VJGE24,CARAVAN
KG-VWME25,CARAVAN
KC-VRE24,CARAVAN
CARAVAN VTGE24,CARAVAN
KR-CWGE25,CARAVAN
EBD-DR64V CLIPPER,CLIPPER
