brand,posted_date,model,year_of_manufacture,transmission,fuel_type,engine_capacity,vehicle_price
TOYOTA,12 OCT,LAND CRUISER PRADO,2010,AUTOMATIC,PETROL,2700,32800000
TOYOTA,12 OCT,PASSO,2016,AUTOMATIC,PETROL,1000,7300000
TOYOTA,13 OCT,DUET,2002,AUTOMATIC,PETROL,1000,2775000
TOYOTA,12 OCT,PREMIO,2013,AUTOMATIC,PETROL,1500,13000000
TOYOTA,17 OCT,CHR,2018,AUTOMATIC,PETROL,1200,16990000
TOYOTA,12 OCT,VITZ,2016,AUTOMATIC,PETROL,100,7925000
TOYOTA,12 OCT,OTHER MODEL,2012,AUTOMATIC,PETROL,2400,14000000
TOYOTA,19 OCT,PREMIO,2014,AUTOMATIC,PETROL,1500,13900000
TOYOTA,11 OCT,LAND CRUISER PRADO,2016,AUTOMATIC,PETROL,2700,57800000
TOYOTA,12 OCT,PASSO,2016,AUTOMATIC,PETROL,1000,7790000
TOYOTA,11 OCT,VITZ,2007,AUTOMATIC,PETROL,990,6000000
TOYOTA,16 OCT,PASSO,2007,AUTOMATIC,PETROL,1000,5150000
TOYOTA,11 OCT,AXIO,2015,AUTOMATIC,PETROL,1490,11850000
TOYOTA,11 OCT,VITZ,2016,AUTOMATIC,PETROL,990,7650000
TOYOTA,11 OCT,PRIUS,2011,AUTOMATIC,PETROL,1700,2650000
TOYOTA,11 OCT,BELTA,2008,AUTOMATIC,PETROL,1000,6385000
TOYOTA,11 OCT,PREMIO,2010,AUTOMATIC,PETROL,1500,11100000
TOYOTA,16 OCT,AXIO,2009,AUTOMATIC,PETROL,1490,7985000
TOYOTA,11 OCT,PREMIO,2018,AUTOMATIC,PETROL,1500,19950000
TOYOTA,11 OCT,PREMIO,2017,AUTOMATIC,PETROL,1500,18300000
TOYOTA,11 OCT,PREMIO,2013,AUTOMATIC,PETROL,1500,13150000
TOYOTA,11 OCT,PREMIO,2013,AUTOMATIC,PETROL,1500,13975000
TOYOTA,11 OCT,PREMIO,2018,AUTOMATIC,PETROL,1500,19950000
TOYOTA,11 OCT,TERCEL,1994,AUTOMATIC,PETROL,1490,2885000
TOYOTA,20 OCT,AQUA,2013,AUTOMATIC,PETROL,1500,6875000
TOYOTA,16 OCT,LAND CRUISER SAHARA,2008,AUTOMATIC,PETROL,4600,47500000
TOYOTA,11 OCT,AXIO,2017,AUTOMATIC,PETROL,1300,12700000
TOYOTA,11 OCT,PREMIO,2017,AUTOMATIC,PETROL,1500,17890000
TOYOTA,16 OCT,COROLLA,2011,AUTOMATIC,PETROL,1598,8200000
TOYOTA,10 OCT,PIXIS,2015,AUTOMATIC,PETROL,660,5600000
TOYOTA,10 OCT,VITZ,2017,AUTOMATIC,PETROL,990,8350000
TOYOTA,15 OCT,PREMIO,2013,AUTOMATIC,PETROL,1500,13900000
TOYOTA,10 OCT,PREMIO,2017,AUTOMATIC,PETROL,1500,19490000
TOYOTA,10 OCT,PREMIO,2011,AUTOMATIC,PETROL,1490,11750000
TOYOTA,12 OCT,LAND CRUISER SAHARA,2007,AUTOMATIC,PETROL,4660,43750000
TOYOTA,10 OCT,ALLION,2003,AUTOMATIC,PETROL,1500,6600000
TOYOTA,10 OCT,PASSO,2018,AUTOMATIC,PETROL,990,7890000
TOYOTA,10 OCT,LAND CRUISER PRADO,2015,AUTOMATIC,PETROL,2700,49000000
TOYOTA,10 OCT,WIGO,2017,AUTOMATIC,PETROL,1000,6000000
TOYOTA,10 OCT,CARINA,1998,AUTOMATIC,PETROL,1500,4000000
TOYOTA,10 OCT,ALLION,2010,AUTOMATIC,PETROL,1490,1040000
TOYOTA,10 OCT,ALPHARD,2011,AUTOMATIC,PETROL,2400,32000000
TOYOTA,10 OCT,PRIUS,2012,AUTOMATIC,PETROL,1500,9250000
TOYOTA,10 OCT,VITZ,2018,AUTOMATIC,PETROL,990,9150000
TOYOTA,10 OCT,CARINA,1998,AUTOMATIC,PETROL,1500,4400000
TOYOTA,10 OCT,VITZ,2018,AUTOMATIC,PETROL,1000,9250000
TOYOTA,21 OCT,VITZ,2016,AUTOMATIC,PETROL,1000,7890000
TOYOTA,09 OCT,COROLLA,2004,AUTOMATIC,PETROL,1500,5500000
TOYOTA,11 OCT,AQUA,2013,AUTOMATIC,PETROL,1490,7900000
TOYOTA,09 OCT,VITZ,2018,AUTOMATIC,PETROL,990,9550000
TOYOTA,09 OCT,ALLION,2004,AUTOMATIC,PETROL,1500,6700000
TOYOTA,09 OCT,CHR,2018,AUTOMATIC,PETROL,1200,14800000
TOYOTA,09 OCT,COROLLA,2010,AUTOMATIC,PETROL,1598,8500000
TOYOTA,15 OCT,CYNOS,2003,AUTOMATIC,PETROL,4660,25000000
TOYOTA,09 OCT,COROLLA,1999,AUTOMATIC,PETROL,1330,4095000
TOYOTA,09 OCT,COROLLA,2008,AUTOMATIC,PETROL,1600,6650000
TOYOTA,16 OCT,COROLLA,2001,AUTOMATIC,PETROL,1490,6150000
TOYOTA,09 OCT,PREMIO,2007,AUTOMATIC,PETROL,1500,9750000
TOYOTA,13 OCT,ALLION,2004,AUTOMATIC,PETROL,1500,7050000
TOYOTA,08 OCT,PRIUS,2011,AUTOMATIC,PETROL,1790,8475000
TOYOTA,15 OCT,AXIO,2008,AUTOMATIC,PETROL,1500,7990000
TOYOTA,17 OCT,PASSO,2016,AUTOMATIC,PETROL,1000,7650000
