post_link,posted_title,posted_date,brand,model,grade,trim_edition,year_of_manufacture,condition,transmission,body_type,fuel_type,engine_capacity,mileage,vehicle_price
https://ikman.lk/en/ad/toyota-aqua-s-grade-full-option-2013-for-sale-colombo,Toyota Aqua S GRADE FULL OPTION 2013,"Posted on 12 Sep 3:56 pm, Boralesgamuwa, Colombo515views",Toyota,Aqua,0,S GRADE FULL OPTION,2013,Used,Automatic,Hatchback,Hybrid,"1,490 cc","112,000 km","Rs 7,990,000"
https://ikman.lk/en/ad/toyota-prius-s-led-2012-for-sale-kandy-2,Toyota Prius S-Led 2012,"Posted on 12 Sep 5:00 pm, Kandy City, Kandy1600views",Toyota,Prius,0,S-Led,2012,Used,Automatic,Saloon,Hybrid,"1,800 cc","134,000 km","Rs 9,150,000"
https://ikman.lk/en/ad/toyota-prius-s-led-2012-for-sale-kandy,Toyota Prius S-LED 2012,"Posted on 17 Sep 10:31 am, Kandy City, Kandy1649views",Toyota,Prius,0,S-LED,2012,Used,Automatic,Saloon,Hybrid,"1,800 cc","85,000 km","Rs 10,200,000"
https://ikman.lk/en/ad/toyota-vitz-hybrid-full-option-2018-for-sale-colombo,Toyota Vitz HYBRID FULL OPTION 2018,"Posted on 12 Sep 2:50 pm, Boralesgamuwa, Colombo1205views",Toyota,Vitz,0,HYBRID FULL OPTION,2018,Used,Automatic,Hatchback,Hybrid,"1,490 cc","107,000 km","Rs 11,250,000"
https://ikman.lk/en/ad/toyota-prius-g-touring-2011-for-sale-kandy,Toyota Prius G-Touring 2011,"Posted on 12 Sep 1:08 pm, Kandy City, Kandy983views",Toyota,Prius,0,G-Touring,2011,Used,Automatic,Saloon,Hybrid,"1,800 cc","134,000 km","Rs 9,100,000"
https://ikman.lk/en/ad/toyota-harrier-v6-hybrid-2009-for-sale-colombo,Toyota Harrier 2009,"Posted on 15 Sep 9:04 am, Boralesgamuwa, Colombo746views",Toyota,Harrier,0,Toyota,2009,Used,Automatic,SUV / 4x4,Hybrid,"3,400 cc","134,000 km","Rs 15,500,000"
https://ikman.lk/en/ad/toyota-prius-2011-for-sale-vavuniya,Toyota Prius 2011,"Posted on 13 Sep 7:18 pm, Vavuniya City, Vavuniya1044views",Toyota,Prius,0,0,2011,Used,Automatic,Saloon,Hybrid,"1,800 cc","117,890 km","Rs 9,200,000"
https://ikman.lk/en/ad/toyota-aqua-2014-for-sale-colombo-3233,Toyota Aqua 2014,"Posted on 15 Sep 12:02 pm, Homagama, Colombo693views",Toyota,Aqua,0,2014,2014,Used,Automatic,Hatchback,Hybrid,"1,500 cc","129,000 km","Rs 7,850,000"
https://ikman.lk/en/ad/toyota-sienta-7-seater-full-option-2015-for-sale-colombo,Toyota Sienta 7 Seater Full Option 2015,"Posted on 10 Sep 6:32 pm, Colombo 6, Colombo901views",Toyota,Sienta,0,7 Seater Full Option,2015,Used,Automatic,Station wagon,Hybrid,"1,490 cc","94,000 km","Rs 15,090,000"
https://ikman.lk/en/ad/toyota-aqua-g-limited-2012-for-sale-polonnaruwa,Toyota Aqua G limited 2012,"Posted on 10 Sep 12:49 pm, Polonnaruwa City, Polonnaruwa962views",Toyota,Aqua,0,G limited,2012,Used,Automatic,Hatchback,Hybrid,"1,490 cc","117,000 km","Rs 7,375,000"
https://ikman.lk/en/ad/toyota-axio-g-2017-for-sale-gampaha-3,Toyota Axio 2017,"Posted on 10 Sep 12:21 pm, Kadawatha, Gampaha2174views",Toyota,Axio,0,Toyota Axio 2017,2017,Used,Automatic,Saloon,Hybrid,"1,500 cc","90,000 km","Rs 12,775,000"
https://ikman.lk/en/ad/toyota-aqua-2014-for-sale-colombo-3232,Toyota Aqua 2014,"Posted on 10 Sep 1:21 am, Moratuwa, Colombo496views",Toyota,Aqua,0,2014,2014,Used,Automatic,Hatchback,Hybrid,"1,490 cc","148,000 km","Rs 8,475,000"
https://ikman.lk/en/ad/toyota-aqua-s-limited-2014-for-sale-kandy-3,Toyota Aqua S Limited 2014,"Posted on 23 Sep 10:16 am, Kandy City, Kandy3915views",Toyota,Aqua,0,S Limited ,2014,Used,Automatic,Hatchback,Hybrid,"1,500 cc","114,000 km","Rs 8,190,000"
https://ikman.lk/en/ad/toyota-crown-royal-saloon-2016-for-sale-kurunegala,Toyota Crown Royal Saloon 2016,"Posted on 12 Sep 10:07 am, Kurunegala City, Kurunegala3793views",Toyota,Crown,0,Royal Saloon,2016,Used,Automatic,Saloon,Hybrid,"2,499 cc","129,000 km","Rs 33,500,000"
