vehicle_price,make,model,year,transmision,engine_capacity,fuel_type
2790000,NISSAN,MARCH,2000,MANUAL,1000,PETROL
1575000,NISSAN,AD WAGON,1996,AUTOMATIC,1500,PETROL
2150000,NISSAN,VANETTE,1993,MANUAL,1950,DIESEL
3300000,NISSAN,SUNNY,2000,AUTOMATIC,1500,PETROL
3750000,NISSAN,VANETTE,2000,MANUAL,1780,PETROL
5250000,NISSAN,VANETTE,2006,MANUAL,1800,PETROL
3300000,NISSAN,VANETTE,1994,MANUAL,2180,DIESEL
2295000,NISSAN,SUNNY,1994,MANUAL,1200,PETROL
2750000,NISSAN,AD WAGON,2000,AUTOMATIC,1500,PETROL
5775000,NISSAN,SUNNY,2011,AUTOMATIC,1300,PETROL
4400000,NISSAN,CLIPPER,2015,AUTOMATIC,650,PETROL
2875000,NISSAN,MARCH,2000,AUTOMATIC,990,PETROL
4275000,NISSAN,SUNNY,2005,AUTOMATIC,1500,PETROL
1275000,NISSAN,MARCH,1993,MANUAL,800,PETROL
6875000,NISSAN,DAYZ,2016,AUTOMATIC,650,PETROL
4250000,NISSAN,VANETTE,2007,AUTOMATIC,2180,DIESEL
2450000,NISSAN,SUNNY,1995,MANUAL,1499,PETROL
620000,NISSAN,AD WAGON,1987,MANUAL,1300,PETROL
3000000,NISSAN,MARCH,2001,AUTOMATIC,1000,PETROL
5000000,NISSAN,CARAVAN,1995,MANUAL,2700,DIESEL
3350000,NISSAN,CLIPPER,2007,AUTOMATIC,1000,PETROL
3575000,NISSAN,MARCH,2003,AUTOMATIC,1000,PETROL
2900000,NISSAN,MARCH,2010,AUTOMATIC,1240,PETROL
5775000,NISSAN,BLUEBIRD,2006,AUTOMATIC,1500,PETROL
1747180,NISSAN,AD WAGON,1996,MANUAL,1300,PETROL
3295000,NISSAN,SUNNY,1999,AUTOMATIC,1500,PETROL
3975000,NISSAN,CARAVAN,1992,MANUAL,2700,DIESEL
350000,NISSAN,SUNNY,1976,MANUAL,1400,PETROL
1075000,NISSAN,SUNNY,1986,MANUAL,1500,PETROL
3350000,NISSAN,SUNNY,2000,AUTOMATIC,1800,PETROL
1425000,NISSAN,SUNNY,1987,MANUAL,1500,PETROL
1275000,NISSAN,BLUEBIRD,1982,MANUAL,1950,DIESEL
1550000,NISSAN,SUNNY,1993,MANUAL,1660,PETROL
880000,NISSAN,SUNNY,1983,MANUAL,1270,PETROL
2600000,NISSAN,CEFIRO,2000,AUTOMATIC,2000,PETROL
5000000,NISSAN,NAVARA,2007,MANUAL,2500,DIESEL
1200000,NISSAN,CARAVAN,1983,MANUAL,1596,DIESEL
1950000,NISSAN,SUNNY,1996,MANUAL,1500,PETROL
5700000,NISSAN,NAVARA,2017,MANUAL,2488,DIESEL
2750000,NISSAN,SUNNY,2001,MANUAL,2184,DIESEL
11000000,NISSAN,X-TRAIL,2015,AUTOMATIC,2000,HYBRID
1600000,NISSAN,SUNNY,1993,MANUAL,1500,PETROL
1900000,NISSAN,SUNNY,1992,MANUAL,1200,PETROL
2200000,NISSAN,MARCH,1998,MANUAL,1000,PETROL
4250000,NISSAN,SUNNY,2003,AUTOMATIC,1490,PETROL
3550000,NISSAN,MARCH,2003,MANUAL,998,PETROL
5450000,NISSAN,CARAVAN,1998,MANUAL,3000,DIESEL
900000,NISSAN,SUNNY,1985,MANUAL,2000,DIESEL
1975000,NISSAN,VANETTE,1998,MANUAL,1950,DIESEL
4600000,NISSAN,VANETTE,2002,MANUAL,2300,DIESEL
4900000,NISSAN,VANETTE,2001,MANUAL,1400,DIESEL
5400000,NISSAN,SUNNY,2010,MANUAL,1300,PETROL
4675000,NISSAN,CARAVAN,1992,MANUAL,2700,DIESEL
3575000,NISSAN,SUNNY,2001,AUTOMATIC,1500,PETROL
11500000,NISSAN,X-TRAIL,2015,MANUAL,1995,PETROL
2350000,NISSAN,SUNNY,1997,MANUAL,2000,DIESEL
5950000,NISSAN,CARAVAN,2006,MANUAL,3000,DIESEL
1475000,NISSAN,SUNNY,1991,MANUAL,1597,PETROL
6250000,NISSAN,VANETTE,2006,AUTOMATIC,2000,DIESEL
11600000,NISSAN,X-TRAIL,2015,AUTOMATIC,2000,HYBRID
4850000,NISSAN,NV100,2014,AUTOMATIC,650,PETROL
3380000,NISSAN,SUNNY,2004,MANUAL,1300,PETROL
2125000,NISSAN,SUNNY,1997,AUTOMATIC,2000,DIESEL
6650000,NISSAN,CARAVAN,1999,MANUAL,3150,DIESEL
9300000,NISSAN,CARAVAN,2011,MANUAL,2953,DIESEL
2690000,NISSAN,MARCH,2000,MANUAL,1000,DIESEL
3395000,NISSAN,SUNNY,2000,AUTOMATIC,1500,PETROL
3800000,NISSAN,VANETTE,1999,MANUAL,2200,DIESEL
3475000,NISSAN,SUNNY,2002,AUTOMATIC,1300,PETROL
6975000,NISSAN,CARAVAN,2006,MANUAL,2000,DIESEL
2650000,NISSAN,CARAVAN,1991,MANUAL,1500,DIESEL
5150000,NISSAN,CARAVAN,1999,MANUAL,3200,DIESEL
4050000,NISSAN,NV100,2013,AUTOMATIC,650,PETROL
4050000,NISSAN,NV100,2012,AUTOMATIC,650,PETROL
4850000,NISSAN,CARAVAN,2008,MANUAL,2500,DIESEL
10400000,NISSAN,X-TRAIL,2015,AUTOMATIC,2000,DIESEL
3870000,NISSAN,SUNNY,2003,AUTOMATIC,1500,PETROL
2140000,NISSAN,SUNNY,1997,AUTOMATIC,2000,PETROL
2200000,NISSAN,PULSAR,1997,AUTOMATIC,2000,DIESEL
3150000,NISSAN,SUNNY,2000,MANUAL,1500,PETROL
3475000,NISSAN,SUNNY,2000,AUTOMATIC,1500,PETROL
1050000,NISSAN,CARAVAN,1983,MANUAL,1500,DIESEL
2540000,NISSAN,VANETTE,1994,MANUAL,1990,DIESEL
5350000,NISSAN,CARAVAN,1999,MANUAL,3150,DIESEL
2375000,NISSAN,SUNNY,1997,MANUAL,1500,PETROL
4050000,NISSAN,SUNNY,2001,AUTOMATIC,1500,PETROL
3160000,NISSAN,SUNNY,2001,AUTOMATIC,1769,PETROL
2850000,NISSAN,PULSAR,1997,AUTOMATIC,1500,PETROL
5250000,NISSAN,LEAF,2015,AUTOMATIC,90,ELECTRIC
2950000,NISSAN,SUNNY,2000,MANUAL,1600,PETROL
3500000,NISSAN,CARAVAN,1987,MANUAL,2700,DIESEL
3395000,NISSAN,SUNNY,1999,AUTOMATIC,1490,PETROL
2800000,NISSAN,MARCH,2001,AUTOMATIC,1000,PETROL
3300000,NISSAN,SUNNY,1999,AUTOMATIC,1500,PETROL
4400000,NISSAN,SUNNY,2003,AUTOMATIC,1499,PETROL
975000,NISSAN,SUNNY,1989,MANUAL,1500,PETROL
625000,NISSAN,AD WAGON,1986,MANUAL,1300,PETROL
750000,NISSAN,MARCH,1987,MANUAL,1500,PETROL
4200000,NISSAN,VANETTE,1998,MANUAL,2180,DIESEL
5500000,NISSAN,LEAF,2013,AUTOMATIC,1500,ELECTRIC
350000,NISSAN,SUNNY,1979,MANUAL,1500,PETROL
2635000,NISSAN,MARCH,2000,AUTOMATIC,1000,PETROL
850000,NISSAN,SUNNY,1986,MANUAL,1500,PETROL
6975000,NISSAN,CARAVAN,2006,AUTOMATIC,3000,DIESEL
1950000,NISSAN,SUNNY,1991,MANUAL,1680,DIESEL
3950000,NISSAN,SUNNY,2000,AUTOMATIC,1490,PETROL
3100000,NISSAN,MARCH,2002,AUTOMATIC,1300,PETROL
1730000,NISSAN,SUNNY,1993,MANUAL,1490,PETROL
3400000,NISSAN,MARCH,2002,AUTOMATIC,1300,PETROL
3000000,NISSAN,CEFIRO,2000,AUTOMATIC,2000,PETROL
1930000,NISSAN,SUNNY,1991,MANUAL,1500,PETROL
4300000,NISSAN,SUNNY,1999,MANUAL,1500,PETROL
5850000,NISSAN,CARAVAN,1995,MANUAL,2000,DIESEL
3390000,NISSAN,SUNNY,2000,AUTOMATIC,1500,PETROL
5150000,NISSAN,CARAVAN,1995,MANUAL,2660,DIESEL
3380000,NISSAN,SUNNY,1999,AUTOMATIC,1500,PETROL
1800000,NISSAN,AD WAGON,1995,MANUAL,1899,DIESEL
5000000,NISSAN,LEAF,2014,AUTOMATIC,30,ELECTRIC
2000000,NISSAN,AD WAGON,1996,AUTOMATIC,1300,PETROL
2300000,NISSAN,SUNNY,2000,MANUAL,1300,PETROL
5650000,NISSAN,CARAVAN,1999,MANUAL,2500,DIESEL
4500000,NISSAN,BLUEBIRD,2004,AUTOMATIC,1490,PETROL
