model,map_model_name
KR26 TOWNACE,TOWNACE
VELLFIRE,VELLFIRE
DAA-ZWR80G NOAH,NOAH
WIGO,WIGO
E-AT150 CORONA,CORONA
E-AL21-CORSA,CORSA
DAA-GWS204 CROWN HYBRID,CROWN
COROLLA FIELDER G,COROLLA
UA-NCP/IST,IST
NZE 141G COROLLA,COROLLA
HIACE LH162,HIACE
AXIO X,AXIO
RAV4 L(JEEP),RAV4
TANK GS,TANK
DBA-NRE160 AXIO,AXIO
HIACE LH50V,HIACE
HIACE KG-LH182K,HIACE
DAA-NKE165 (AXIO),AXIO
VDJ200R-GNTEZ(LAND CRUISER),LAND CRUISER
DAA-AWS210(CROWN),CROWN
QDF-KDH201 K HIACE,HIACE
HIACE ACE,HIACE
HILUX VIGO 3,HILUX
CHR HYBRID,CHR
DBA-NZE161 AXIO,AXIO
HIACE (KDH222R-LEMDYT),HIACE
CBF-TRH200V HIACE,HIACE
COROLLA / KE73G,COROLLA
VIOS E AUTO,VIOS
PRIUS ALPHA,PRIUS
HIACE GE-RZH112V,HIACE
HIACE-280 D-4D,HIACE
LDF-KDH201K HIACE,HIACE
U-LH113,LH113
E-EL30-TERCEL,TERCEL
HILUX RC 3.0 D4D,HILUX
KDH221-HIACE DX,HIACE
KD-KZH120G HIACE,HIACE
DBA-NRT360 PREMIO,PREMIO
HIACE (KDH222R - LEMDYT B1),HIACE
DAA-NHP10 PRIUS,PRIUS
MARK X,MARK
IST NCP110,IST
HIACE KDH222R,HIACE
DUET,DUET
CROWN S,CROWN
CT210-PREMIO,PREMIO
DBA-ZZT240 ALLION,ALLION
KZH116 HIACE,HIACE
GK-KR42V LITEACE,LITEACE
NHP 10 AQUA HYBRIDE,AQUA
CROWN,CROWN
HIACE KDH SUPER GL,HIACE
EE100R-COROLLA,COROLLA
VIOS 1.5,VIOS
HARRIER PREMIUM,HARRIER
TOWNACE KJ-CR42V,TOWNACE
HILUX - VIGO (KUN25R),HILUX
VITZ SCPIO,VITZ
AQUA G DAA-NHP10,AQUA
AXIO G,AXIO
LDF-KDH201V-HIACE,HIACE
E-AT150-CARINA,CARINA
PRIUS S,PRIUS
