vehicle_price,make,model,year,transmision,engine_capacity,fuel_type
4600000,TOYOTA,HIACE,1992,MANUAL,2440,DIESEL
9400000,TOYOTA,PRIUS,2013,AUTOMATIC,1800,HYBRID
6340000,TOYOTA,ALLION,2004,AUTOMATIC,1500,PETROL
2300000,TOYOTA,HIACE,1984,MANUAL,2500,DIESEL
2800000,TOYOTA,TOWNACE,1989,MANUAL,1890,DIESEL
7890000,TOYOTA,PRIUS,2011,AUTOMATIC,1800,HYBRID
19250000,TOYOTA,CHR,2020,TIPTRONIC,1200,PETROL
2300000,TOYOTA,STARLET,1997,AUTOMATIC,1332,DIESEL
13600000,TOYOTA,HIACE,2014,AUTOMATIC,3000,PETROL
11200000,TOYOTA,ALLION,2012,AUTOMATIC,1500,PETROL
6390000,TOYOTA,ALLION,2003,AUTOMATIC,1490,PETROL
6200000,TOYOTA,ALLION,2003,MANUAL,1500,PETROL
5650000,TOYOTA,COROLLA,2002,AUTOMATIC,1500,PETROL
6745000,TOYOTA,AQUA,2012,AUTOMATIC,1500,HYBRID
3350000,TOYOTA,COROLLA,1997,AUTOMATIC,2000,DIESEL
7750000,TOYOTA,PASSO,2017,AUTOMATIC,1000,PETROL
3750000,TOYOTA,TOWNACE,1993,MANUAL,1970,DIESEL
6300000,TOYOTA,BELTA,2008,AUTOMATIC,1300,PETROL
6350000,TOYOTA,ALLION,2004,AUTOMATIC,1500,PETROL
7385000,TOYOTA,VITZ,2016,AUTOMATIC,1000,PETROL
9900000,TOYOTA,ALLION,2010,AUTOMATIC,1500,PETROL
14900000,TOYOTA,HIACE,2010,AUTOMATIC,2500,DIESEL
6975000,TOYOTA,AXIO,2006,AUTOMATIC,1500,PETROL
4775000,TOYOTA,COROLLA,2001,AUTOMATIC,1500,PETROL
3950000,TOYOTA,CARINA,1997,AUTOMATIC,1500,PETROL
9250000,TOYOTA,PRIUS,2013,AUTOMATIC,1500,HYBRID
8725000,TOYOTA,VITZ,2018,AUTOMATIC,990,PETROL
6550000,TOYOTA,AXIO,2007,MANUAL,1500,PETROL
2925000,TOYOTA,COROLLA,1996,AUTOMATIC,1500,PETROL
3050000,TOYOTA,TOWNACE,1993,MANUAL,2000,DIESEL
2150000,TOYOTA,CORSA,1991,AUTOMATIC,1330,PETROL
6650000,TOYOTA,ALLION,2002,AUTOMATIC,1500,PETROL
7450000,TOYOTA,LAND CRUISER PRADO,1986,AUTOMATIC,3000,DIESEL
32800000,TOYOTA,HILUX,2019,AUTOMATIC,2800,DIESEL
8350000,TOYOTA,ALLION,2007,MANUAL,1500,PETROL
6000000,TOYOTA,HILUX,2010,MANUAL,3000,DIESEL
10350000,TOYOTA,AXIO,2015,AUTOMATIC,1500,PETROL
2020000,TOYOTA,CR27,1989,MANUAL,1970,DIESEL
590000,TOYOTA,COROLLA,1973,MANUAL,1200,PETROL
6775000,TOYOTA,AXIO,2007,AUTOMATIC,1500,PETROL
2500000,TOYOTA,HIACE,1987,MANUAL,2446,PETROL
3900000,TOYOTA,SPRINTER,1999,AUTOMATIC,15000,PETROL
5650000,TOYOTA,NOAH,1999,AUTOMATIC,2200,DIESEL
850000,TOYOTA,COROLLA,1983,MANUAL,1500,PETROL
4850000,TOYOTA,VIOS,2004,AUTOMATIC,1500,PETROL
4675000,TOYOTA,IST,2003,AUTOMATIC,1490,PETROL
8350000,TOYOTA,VITZ,2017,AUTOMATIC,1490,PETROL
1475000,TOYOTA,COROLLA,1984,MANUAL,1500,PETROL
1795000,TOYOTA,COROLLA,1991,MANUAL,1490,PETROL
14800000,TOYOTA,AXIO,2019,AUTOMATIC,1500,PETROL
6300000,TOYOTA,AVANZA,2012,MANUAL,1298,PETROL
14500000,TOYOTA,PREMIO,2015,AUTOMATIC,1500,PETROL
16300000,TOYOTA,PREMIO,2017,AUTOMATIC,1986,PETROL
7590000,TOYOTA,VITZ,2015,AUTOMATIC,1000,PETROL
12700000,TOYOTA,PREMIO,2013,AUTOMATIC,1500,PETROL
2790000,TOYOTA,COROLLA,1998,MANUAL,1998,PETROL
7200000,TOYOTA,HIACE,1995,AUTOMATIC,2700,PETROL
5450000,TOYOTA,COROLLA,2005,AUTOMATIC,1300,PETROL
3600000,TOYOTA,COROLLA,1998,AUTOMATIC,1498,PETROL
3285000,TOYOTA,PREMIO,1996,AUTOMATIC,1500,PETROL
2300000,TOYOTA,COROLLA,1998,MANUAL,1400,PETROL
11850000,TOYOTA,HILUX,2011,MANUAL,2500,DIESEL
9275000,TOYOTA,VITZ,2019,AUTOMATIC,1000,PETROL
19450000,TOYOTA,PREMIO,2020,AUTOMATIC,1490,PETROL
2850000,TOYOTA,SOLUNA,2001,MANUAL,1500,PETROL
5000000,TOYOTA,COROLLA,2004,AUTOMATIC,1500,PETROL
5440000,TOYOTA,HIACE,1995,MANUAL,2755,DIESEL
21000000,TOYOTA,PREMIO,2020,AUTOMATIC,1500,PETROL
7350000,TOYOTA,AXIO,2008,AUTOMATIC,1490,PETROL
6975000,TOYOTA,HIACE,1997,MANUAL,2770,DIESEL
8300000,TOYOTA,PRIUS,2012,AUTOMATIC,1800,PETROL
2800000,TOYOTA,HIACE,1989,MANUAL,2440,DIESEL
5350000,TOYOTA,VITZ,2007,AUTOMATIC,996,PETROL
7850000,TOYOTA,PRIUS,2011,AUTOMATIC,1970,PETROL
8575000,TOYOTA,ALLION,2008,AUTOMATIC,1490,PETROL
1750000,TOYOTA,COROLLA,1991,MANUAL,1830,DIESEL
875000,TOYOTA,HIACE,1980,MANUAL,2000,DIESEL
